Year,OSHPD ID,Admission_Type,Count
2009,240942,Scheduled,3134
2009,240942,Unscheduled,7218
2009,240942,"Infant, under 24 hrs old",2681
2009,244027,Unscheduled,724
2009,250955,Scheduled,17
2009,250955,Unscheduled,22
2009,250956,Scheduled,89
2009,250956,Unscheduled,194
2009,250956,"Infant, under 24 hrs old",1
2009,260011,Scheduled,182
2009,260011,Unscheduled,465
2009,260011,"Infant, under 24 hrs old",98
2009,260011,Unknown,2
2009,270744,Scheduled,3039
2009,270744,Unscheduled,8052
2009,270744,"Infant, under 24 hrs old",1290
2009,270777,Scheduled,89
2009,270777,Unscheduled,1792
2009,270777,"Infant, under 24 hrs old",607
2009,270875,Scheduled,2276
2009,270875,Unscheduled,9042
2009,270875,"Infant, under 24 hrs old",2059
2009,270875,Unknown,1
2009,274043,Scheduled,453
2009,274043,Unscheduled,7091
2009,274043,"Infant, under 24 hrs old",2708
2009,281047,Scheduled,1045
2009,281047,Unscheduled,7230
2009,281047,"Infant, under 24 hrs old",958
2009,281047,Unknown,17
2009,281078,Scheduled,1061
2009,281078,Unscheduled,3552
2009,281078,"Infant, under 24 hrs old",262
2009,281297,Scheduled,211
2009,281297,Unscheduled,97
2009,291023,Scheduled,1258
2009,291023,Unscheduled,5058
2009,291023,"Infant, under 24 hrs old",468
2009,291053,Scheduled,756
2009,291053,Unscheduled,1062
2009,291053,"Infant, under 24 hrs old",412
2009,300032,Scheduled,1574
2009,300032,Unscheduled,10553
2009,300032,"Infant, under 24 hrs old",369
2009,300225,Scheduled,3849
2009,300225,Unscheduled,8127
2009,300225,"Infant, under 24 hrs old",1576
2009,300225,Unknown,1
2009,301097,Scheduled,205
2009,301097,Unscheduled,727
2009,301097,"Infant, under 24 hrs old",8
2009,301097,Unknown,3
2009,301098,Scheduled,3286
2009,301098,Unscheduled,9415
2009,301098,"Infant, under 24 hrs old",1776
2009,301098,Unknown,1
2009,301127,Scheduled,592
2009,301132,Scheduled,4831
2009,301132,Unscheduled,19162
2009,301132,"Infant, under 24 hrs old",4570
2009,301132,Unknown,1
2009,301140,Scheduled,848
2009,301140,Unscheduled,1475
2009,301155,Scheduled,438
2009,301155,Unscheduled,3633
2009,301175,Scheduled,1776
2009,301175,Unscheduled,16097
2009,301175,"Infant, under 24 hrs old",3325
2009,301188,Scheduled,3
2009,301188,Unscheduled,8087
2009,301188,"Infant, under 24 hrs old",2587
2009,301205,Scheduled,12878
2009,301205,Unscheduled,15375
2009,301205,"Infant, under 24 hrs old",4808
2009,301205,Unknown,19
2009,301209,Scheduled,9
2009,301209,Unscheduled,3867
2009,301234,Scheduled,147
2009,301234,Unscheduled,3854
2009,301234,"Infant, under 24 hrs old",216
2009,301248,Scheduled,760
2009,301248,Unscheduled,9015
2009,301248,"Infant, under 24 hrs old",1829
2009,301258,Scheduled,1254
2009,301258,Unscheduled,3760
2009,301258,"Infant, under 24 hrs old",1994
2009,301262,Scheduled,3674
2009,301262,Unscheduled,14970
2009,301262,"Infant, under 24 hrs old",3308
2009,301262,Unknown,11
2009,301279,Scheduled,2894
2009,301279,Unscheduled,13358
2009,301279,"Infant, under 24 hrs old",1232
2009,301283,Scheduled,1315
2009,301283,Unscheduled,5719
2009,301283,"Infant, under 24 hrs old",2548
2009,301297,Scheduled,435
2009,301297,Unscheduled,3786
2009,301304,Scheduled,756
2009,301304,Unscheduled,1
2009,301317,Scheduled,5474
2009,301317,Unscheduled,12971
2009,301317,"Infant, under 24 hrs old",2925
2009,301317,Unknown,1
2009,301337,Scheduled,829
2009,301337,Unscheduled,2978
2009,301337,Unknown,2
2009,301340,Scheduled,10572
2009,301340,Unscheduled,11498
2009,301340,"Infant, under 24 hrs old",5123
2009,301340,Unknown,4
2009,301342,Scheduled,3122
2009,301342,Unscheduled,13879
2009,301342,"Infant, under 24 hrs old",2142
2009,301342,Unknown,2
2009,301357,Scheduled,190
2009,301357,Unscheduled,2
2009,301357,Unknown,1
2009,301379,Scheduled,107
2009,301379,Unscheduled,6725
2009,301380,Scheduled,1008
2009,301566,Scheduled,1362
2009,301566,Unscheduled,9083
2009,301566,"Infant, under 24 hrs old",2952
2009,301566,Unknown,1
2009,304045,Scheduled,17
2009,304045,Unscheduled,102
2009,304079,Scheduled,1161
2009,304079,Unknown,1
2009,304113,Scheduled,81
2009,304113,Unscheduled,1861
2009,304113,"Infant, under 24 hrs old",234
2009,304113,Unknown,2
2009,304159,Scheduled,70
2009,304426,Scheduled,293
2009,310791,Scheduled,1176
2009,310791,Unscheduled,2624
2009,310791,"Infant, under 24 hrs old",326
