Year,OSHPD ID,Age Groups,Count
2009,190081,19-Oct,374
2009,190081,20-29,1064
2009,190081,30-39,779
2009,190081,40-49,769
2009,190081,50-59,1045
2009,190081,60-69,1298
2009,190081,70-79,1529
2009,190081,80+,1904
2009,190110,19-Oct,60
2009,190110,20-29,369
2009,190110,30-39,562
2009,190110,40-49,1249
2009,190110,50-59,1661
2009,190110,60-69,1343
2009,190110,70-79,1257
2009,190110,80+,1745
2009,190125,Under 1,4953
2009,190125,9-Jan,400
2009,190125,19-Oct,1449
2009,190125,20-29,3969
2009,190125,30-39,2635
2009,190125,40-49,1887
2009,190125,50-59,1957
2009,190125,60-69,1508
2009,190125,70-79,962
2009,190125,80+,984
2009,190137,19-Oct,10
2009,190137,20-29,25
2009,190137,30-39,35
2009,190137,40-49,80
2009,190137,50-59,164
2009,190137,60-69,271
2009,190137,70-79,349
2009,190137,80+,418
2009,190148,Under 1,1765
2009,190148,9-Jan,1
2009,190148,19-Oct,485
2009,190148,20-29,1658
2009,190148,30-39,1460
2009,190148,40-49,2168
2009,190148,50-59,3229
2009,190148,60-69,3350
2009,190148,70-79,3296
2009,190148,80+,3130
2009,190150,9-Jan,147
2009,190150,19-Oct,266
2009,190150,20-29,237
2009,190150,30-39,179
2009,190150,40-49,161
2009,190150,50-59,71
2009,190150,60-69,16
2009,190159,19-Oct,31
2009,190159,20-29,150
2009,190159,30-39,303
2009,190159,40-49,537
2009,190159,50-59,721
2009,190159,60-69,613
2009,190159,70-79,546
2009,190159,80+,683
2009,190163,9-Jan,1
2009,190163,19-Oct,1505
2009,190163,20-29,820
2009,190163,30-39,699
2009,190163,40-49,868
2009,190163,50-59,550
2009,190163,60-69,158
2009,190163,70-79,30
2009,190163,80+,10
2009,190170,Under 1,2381
2009,190170,9-Jan,4640
2009,190170,19-Oct,3858
2009,190170,20-29,178
2009,190170,30-39,14
2009,190170,40-49,6
2009,190198,40-49,602
2009,190176,Under 1,1
2009,190176,9-Jan,138
2009,190176,19-Oct,354
2009,190176,20-29,560
2009,190176,30-39,486
2009,190176,40-49,867
2009,190176,50-59,1329
2009,190176,60-69,1611
2009,190176,70-79,790
2009,190176,80+,205
2009,190184,9-Jan,1
2009,190184,19-Oct,1265
2009,190184,20-29,1347
2009,190184,30-39,1171
2009,190184,40-49,1272
2009,190184,50-59,901
2009,190184,60-69,410
2009,190184,70-79,226
2009,190184,80+,166
2009,190196,20-29,5
2009,190196,30-39,6
2009,190196,40-49,32
2009,190196,50-59,109
2009,190196,60-69,173
2009,190196,70-79,261
2009,190196,80+,301
2009,190197,Under 1,202
2009,190197,9-Jan,322
2009,190197,19-Oct,229
2009,190197,20-29,277
2009,190197,30-39,383
2009,190197,40-49,491
2009,190197,50-59,572
2009,190197,60-69,558
2009,190197,70-79,556
2009,190197,80+,409
2009,190198,Under 1,879
2009,190198,9-Jan,597
2009,190198,19-Oct,249
2009,190198,20-29,390
2009,190198,30-39,387
2009,190198,50-59,854
2009,190198,60-69,831
2009,190198,70-79,610
2009,190198,80+,574
2009,190200,Under 1,2125
2009,190200,19-Oct,184
2009,190200,20-29,994
2009,190200,30-39,1408
2009,190200,40-49,602
2009,190200,50-59,641
2009,190200,60-69,679
2009,190200,70-79,1189
2009,190200,80+,2130
2009,190232,9-Jan,73
2009,190232,19-Oct,1983
2009,190232,20-29,599
2009,190232,30-39,542
2009,190232,40-49,700
2009,190232,50-59,517
2009,190232,60-69,144
2009,190232,70-79,21
2009,190240,19-Oct,61
2009,190240,20-29,228
2009,190240,30-39,410
2009,190240,40-49,743
2009,190240,50-59,1242
2009,190240,60-69,1476
2009,190240,70-79,1658
2009,190240,80+,1853
2009,190243,Under 1,1535
2009,190243,19-Oct,243
2009,190243,20-29,1214
2009,190243,30-39,1152
2009,190243,40-49,1200
2009,190243,50-59,1636
2009,190243,60-69,2177
2009,190243,70-79,2570
2009,190243,80+,3066
2009,190256,Under 1,1015
2009,190256,9-Jan,247
2009,190256,19-Oct,346
2009,190256,20-29,712
2009,190256,30-39,492
2009,190256,40-49,371
2009,190256,50-59,466
2009,190256,60-69,412
2009,190256,70-79,466
2009,190256,80+,502
2009,190280,19-Oct,18
2009,190280,20-29,78
2009,190280,30-39,112
2009,190280,40-49,215
2009,190280,50-59,300
2009,190280,60-69,360
2009,190280,70-79,474
2009,190280,80+,1147
2009,190298,Under 1,863
2009,190298,19-Oct,134
2009,190298,20-29,687
2009,190298,30-39,635
2009,190298,40-49,520
2009,190298,50-59,645
2009,190298,60-69,706
2009,190298,70-79,1010
2009,190298,80+,1201
2009,190305,19-Oct,1
2009,190305,20-29,7
2009,190305,30-39,13
2009,190305,40-49,50
2009,190305,50-59,91
2009,190305,60-69,145
2009,190305,70-79,215
2009,190305,80+,303
2009,190307,Under 1,1695
2009,190307,19-Oct,316
2009,190307,20-29,1101
2009,190307,30-39,659
2009,190307,40-49,400
2009,190307,50-59,577
2009,190307,60-69,570
2009,190307,70-79,733
2009,190307,80+,1055
2009,190315,Under 1,3465
2009,190315,19-Oct,337
2009,190315,20-29,1607
2009,190315,30-39,1953
2009,190315,40-49,897
2009,190315,50-59,954
2009,190315,60-69,1106
2009,190315,70-79,1785
2009,190315,80+,2585
2009,190317,Under 1,2
2009,190317,19-Oct,384
2009,190317,20-29,181
2009,190317,30-39,115
2009,190317,40-49,97
2009,190317,50-59,69
2009,190317,60-69,6
2009,190323,Under 1,2627
2009,190323,19-Oct,370
2009,190323,20-29,2481
2009,190323,30-39,2386
2009,190323,40-49,2065
2009,190323,50-59,2371
2009,190323,60-69,2569
2009,190323,70-79,3114
2009,190323,80+,3705
2009,190323,Unknown,3
2009,190328,Under 1,308
2009,190328,19-Oct,39
2009,190328,20-29,209
2009,190328,30-39,127
2009,190328,40-49,111
2009,190328,50-59,257
2009,190328,60-69,344
2009,190328,70-79,376
2009,190328,80+,364
2009,190328,Unknown,1
2009,190352,Under 1,888
2009,190352,9-Jan,445
2009,190352,19-Oct,255
2009,190352,20-29,498
2009,190352,30-39,382
2009,190352,40-49,310
2009,190352,50-59,347
2009,190352,60-69,342
2009,190352,70-79,389
2009,190352,80+,415
2009,190380,19-Oct,13
2009,190380,20-29,108
2009,190380,30-39,229
2009,190380,40-49,651
2009,190380,50-59,979
2009,190380,60-69,753
2009,190380,70-79,461
2009,190380,80+,362
2009,190382,Under 1,5918
2009,190382,9-Jan,29
2009,190382,19-Oct,983
2009,190382,20-29,3879
2009,190382,30-39,2590
2009,190382,40-49,1363
2009,190382,50-59,1433
2009,190382,60-69,1518
2009,190382,70-79,1822
2009,190382,80+,2303
2009,190385,Under 1,2726
2009,190385,9-Jan,1
2009,190385,19-Oct,702
2009,190385,20-29,2330
2009,190385,30-39,1633
2009,190385,40-49,1475
2009,190385,50-59,1775
2009,190385,60-69,2052
2009,190385,70-79,2366
2009,190385,80+,2522
2009,190392,Under 1,4440
2009,190392,19-Oct,442
2009,190392,20-29,2433
2009,190392,30-39,2698
2009,190392,40-49,1250
2009,190392,50-59,1757
2009,190392,60-69,2517
2009,190392,70-79,2617
2009,190392,80+,2865
2009,190400,Under 1,4051
2009,190400,9-Jan,786
2009,190400,19-Oct,839
2009,190400,20-29,2533
2009,190400,30-39,3783
2009,190400,40-49,3264
2009,190400,50-59,3581
2009,190400,60-69,3830
2009,190400,70-79,3817
2009,190400,80+,4706
2009,190410,19-Oct,102
2009,190410,20-29,600
2009,190410,30-39,581
2009,190410,40-49,825
2009,190410,50-59,509
2009,190410,60-69,152
2009,190410,70-79,5
2009,190413,19-Oct,105
2009,190413,20-29,561
2009,190413,30-39,657
2009,190413,40-49,1065
2009,190413,50-59,1353
2009,190413,60-69,1424
2009,190413,70-79,1571
2009,190413,80+,1992
2009,190422,Under 1,3911
2009,190422,9-Jan,540
2009,190422,19-Oct,554
2009,190422,20-29,1996
2009,190422,30-39,3066
2009,190422,40-49,2421
2009,190422,50-59,3015
2009,190422,60-69,3543
2009,190422,70-79,4290
2009,190422,80+,5073
2009,190422,Unknown,3
2009,190429,Under 1,2976
2009,190429,9-Jan,1328
2009,190429,19-Oct,1353
2009,190429,20-29,1807
2009,190429,30-39,2366
2009,190429,40-49,2286
2009,190429,50-59,3347
2009,190429,60-69,3975
2009,190429,70-79,3453
